match_name,id,team,name,position,xtPosition,playMins,result,points,teamGoals,teamGoalsConceded,goals,assists,goalsConceded,penaltyConceded,cornersTotal,aerialsWon,dribblesLost,shotsTotal,passesAccurate,tackleUnsuccesful,defensiveAerials,aerialsTotal,offensiveAerials,passesTotal,throwInsTotal,offsidesCaught,interceptions,ratings,touches,dispossessed,parriedSafe,claimsHigh,clearances,throwInAccuracy,collected,parriedDanger,possession,shotsOffTarget,dribblesAttempted,shotsOnPost,dribblesWon,cornersAccurate,tackleSuccess,throwInsAccurate,dribbleSuccess,errorsCount,aerialSuccess,shotsBlocked,tacklesTotal,tackleSuccessful,shotsOnTarget,dribbledPast,passesKey,foulsCommited,totalSaves,passSuccess,claimsTotal,adjustedRating,overallRating,parriedDangerRating,cccPassesRating,shotsAccuracyRating,errorsRating,goalsConcededRating,dribbleSuccessRating,aerialSuccessRating,collectedRating,totalSavesRating,dribbledPastRating,goalsRating,defenseThreeRatting,passesAccuracyRating,defenseThree,totalErrors,cccPasses,totalCollected,totalParried,shotsAccuracy,passesAccuracy
France-Ligue-1/2017-2018/2018-02-10/Angers-Monaco,141156,Angers,Thomas Touré,Sub,Sub,6,-2,0.0,1.0,3.0,0,0,0,0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0,1.0,0.0,0.0,0.0,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
France-Ligue-1/2017-2018/2018-02-10/Angers-Monaco,80450,Angers,Loic Puyo,Sub,Sub,0,-2,0.0,1.0,3.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
France-Ligue-1/2017-2018/2018-02-10/Angers-Monaco,82232,Angers,Gilles Sunu,Sub,Sub,0,-2,0.0,1.0,3.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
France-Ligue-1/2017-2018/2018-02-10/Angers-Monaco,234366,Angers,Mathieu Michel,Sub,Sub,0,-2,0.0,1.0,3.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
France-Ligue-1/2017-2018/2018-02-10/Angers-Monaco,344697,Angers,Wilfried Kanga,Sub,Sub,0,-2,0.0,1.0,3.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
France-Ligue-1/2017-2018/2018-02-10/Angers-Monaco,256538,Monaco,Seydou Sy,GK,GK,90,2,3.0,3.0,1.0,0,0,1,0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0,40.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,37.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1700.0,0,1.9965624786907445,4.991406196726861,14.979751528901167,0.0,0.0,15.0,10.0,0.0,0.0,3.2866885199139,1.5131064159144259,0.0,0.0,0.0,5.134515502539119,1.0,0.0,0.0,0.0,1.0,0,0.6774193548387096
France-Ligue-1/2017-2018/2018-02-10/Angers-Monaco,10454,Monaco,Djibril Sidibe,DR,DL/DR,86,2,3.0,3.0,1.0,0,0,1,0,0.0,3.0,1.0,0.0,59.0,1.0,2.0,3.0,1.0,63.0,6.0,0.0,4.0,0,89.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,0.0,2.0,0,1.0,0.0,0.0,5.0,100.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,3725.0,0,2.5432779304167092,6.358194826041773,0.0,10.465116279069768,0.0,9.0,0.0,15.0,4.956830143208342,0.0,0.0,7.627906976744185,0.0,6.630769621214223,9.901325240181205,5.0,0.0,2.0,0.0,0.0,0,0.9365079365079365
France-Ligue-1/2017-2018/2018-02-10/Angers-Monaco,130435,Monaco,Jemerson,DC,DC,90,2,3.0,3.0,1.0,0,0,1,0,0.0,4.0,0.0,0.0,54.0,0.0,7.0,7.0,0.0,58.0,0.0,0.0,3.0,0,75.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,58.0,0.0,0.0,0,0.0,0.0,400.0,0.0,0.0,0.0,0.5714285714285714,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3650.0,0,2.978016181683564,7.445040454208909,0.0,0.0,0.0,15.0,0.0,0.0,15.828073992843079,0.0,0.0,10.0,0.0,24.12951094100831,9.492819608237706,16.0,0.0,0.0,0.0,0.0,0,0.9310344827586207
France-Ligue-1/2017-2018/2018-02-10/Angers-Monaco,44208,Monaco,Kamil Glik,DC,DC,90,2,3.0,3.0,1.0,0,0,1,0,0.0,3.0,0.0,1.0,54.0,1.0,3.0,5.0,2.0,70.0,0.0,0.0,1.0,0,81.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,70.0,0.0,0.0,0,0.0,0.0,200.0,0.0,0.0,1.0,0.6,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,2541.67,0,0.839069447495626,2.0976736187390648,0.0,0.0,0.0,-15.0,0.0,0.0,17.07576694256348,0.0,0.0,2.0,0.0,13.296044924629582,3.6049243201975854,9.0,1.0,0.0,0.0,0.0,1.0,0.7714285714285715
France-Ligue-1/2017-2018/2018-02-10/Angers-Monaco,17946,Monaco,Andrea Raggi,DL,DL/DR,90,2,3.0,3.0,1.0,1,0,1,0,0.0,1.0,0.0,1.0,31.0,1.0,0.0,1.0,1.0,46.0,8.0,0.0,1.0,0,69.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,47.0,0.0,0.0,0,0.0,0.0,100.0,6.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1933.34,0,2.3396322958850413,5.849080739712603,0.0,0.0,0.0,9.0,0.0,1.148455916387796,4.956830143208342,0.0,0.0,8.0,25.0,8.677720104334314,1.7078012331955716,6.0,0.0,0.0,0.0,0.0,1.0,0.6739130434782609
France-Ligue-1/2017-2018/2018-02-10/Angers-Monaco,136345,Monaco,Youri Tielemans,DMC,DM,90,2,3.0,3.0,1.0,0,1,1,0,0.0,2.0,0.0,1.0,51.0,3.0,2.0,2.0,0.0,64.0,0.0,0.0,0.0,0,77.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,1.0,2.0,0,2.0,0.0,300.0,0.0,200.0,0.0,1.0,0.0,6.0,3.0,0.0,3.0,1.0,2.0,0.0,3283.33,0,1.9203691744060774,4.800922936015193,0.0,15.0,0.0,15.0,0.0,0.0,9.978626330052272,0.0,0.0,-2.0,0.0,4.9641003083009245,5.06650272179874,3.0,0.0,3.0,0.0,0.0,0.0,0.796875
France-Ligue-1/2017-2018/2018-02-10/Angers-Monaco,115916,Monaco,Fabinho,DMC,DM,90,2,3.0,3.0,1.0,0,0,1,0,0.0,1.0,0.0,0.0,88.0,2.0,0.0,2.0,2.0,95.0,0.0,0.0,1.0,0,109.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,95.0,0.0,0.0,0,0.0,0.0,200.0,0.0,0.0,0.0,0.5,0.0,4.0,2.0,0.0,2.0,0.0,1.0,0.0,4510.0,0,2.2834453910891477,5.708613477722869,0.0,0.0,0.0,15.0,0.0,0.0,6.830306777025393,0.0,0.0,2.0,0.0,16.65693095905708,16.598897041146216,7.0,0.0,0.0,0.0,0.0,0,0.9263157894736842
France-Ligue-1/2017-2018/2018-02-10/Angers-Monaco,127970,Monaco,Rony Lopes,AMR,FW,74,2,3.0,3.0,1.0,0,0,1,0,2.0,0.0,1.0,2.0,17.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,2.0,0,1.0,0.0,300.0,0.0,100.0,0.0,0,0.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,1400.0,0,1.917478533711352,4.79369633427838,0.0,7.297297297297297,15.817860962698111,0.0,0.0,5.0,0.5804156632005221,0.0,0.0,0.0,0.0,4.999999812100689,14.241389607487179,4.0,0.0,1.0,0.0,0.0,0.5,0.7727272727272727
France-Ligue-1/2017-2018/2018-02-10/Angers-Monaco,16161,Monaco,João Moutinho,AMC,AMC/SS,90,2,3.0,3.0,1.0,0,0,1,0,0.0,0.0,0.0,0.0,62.0,1.0,1.0,1.0,0.0,69.0,1.0,0.0,1.0,0,80.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,70.0,0.0,1.0,0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,3366.67,0,1.8355714500100384,4.588928625025096,0.0,5.0,0.0021453018209857994,0.0,0.0,15.0,0.0021453018209857994,0.0,0.0,0.0,0.0,9.999999999999998,15.884995646608981,5.0,0.0,1.0,0.0,0.0,0,0.8985507246376812
