id,name,position,assistCount,keyPassCount,keyPassDistance,keyPassPositionDistance,matchCount,minutes,positionDistancePerKp,distancePerKp,kpPerMinutes,kpPerMatch
44642,Davide Santon,DR,2.0,12.0,324.07952797339107,494.66284361430115,9.0,814.0,41.2219036345251,27.006627331115922,0.014742014742014743,1.3333333333333333
80957,Javi López,DR,0.0,11.0,391.0689692209939,480.0902700405214,13.0,1252.0,43.64457000368376,35.55172447463581,0.00878594249201278,0.8461538461538461
22846,Ryan Bertrand,DL,0.0,11.0,304.43812059394816,431.3320126907398,10.0,974.0,39.21200115370362,27.676192781268014,0.011293634496919919,1.1
82362,Daniel Caligiuri,DR,0.0,11.0,335.4223297697247,422.1938121932726,9.0,1482.0,38.38125565393387,30.49293906997497,0.007422402159244264,1.2222222222222223
20339,James McArthur,MR,1.0,11.0,213.9895233281959,354.16912897438664,9.0,755.0,32.197193543126055,19.45359302983599,0.01456953642384106,1.2222222222222223
19453,Kevin Gameiro,FW,0.0,11.0,173.23320500143103,289.8687301250493,7.0,566.0,26.351702738640846,15.748473181948276,0.019434628975265017,1.5714285714285714
83397,Camillo Ciano,FW,0.0,11.0,417.76596700348557,481.166426938472,7.0,590.0,43.742402448952,37.97872427304414,0.01864406779661017,1.5714285714285714
22325,Ángel Rodríguez,FW,2.0,11.0,297.4713124862838,355.7905673070043,13.0,998.0,32.34459702790949,27.042846589662165,0.011022044088176353,0.8461538461538461
83390,Lorenzo Insigne,FWL,0.0,11.0,296.2272746994597,486.7400960946542,5.0,401.0,44.24909964496856,26.929752245405428,0.02743142144638404,2.2
120763,Ricardo Pereira,DR,2.0,11.0,237.2248792059485,509.75317686870835,13.0,1262.0,46.341197897155304,21.565898109631682,0.008716323296354992,0.8461538461538461
22732,Ivan Rakitic,MC,3.0,11.0,295.94032836721834,464.6945309828109,22.0,1995.0,42.24495736207371,26.903666215201667,0.005513784461152882,0.5
20339,James McArthur,MC,1.0,11.0,227.1911173681248,437.0007794846458,13.0,1160.0,39.727343589513254,20.6537379425568,0.009482758620689655,0.8461538461538461
