,aerialsTotal,aerialsWon,clearances,cornersAccurate,cornersTotal,defensiveAerials,dispossessed,dribbledPast,dribblesAttempted,dribblesLost,dribblesWon,errorsCount,foulsCommited,goals,goalsConceded,home,interceptions,name,offensiveAerials,offsidesCaught,passesAccurate,passesKey,passesTotal,possession,result,shotsBlocked,shotsOffTarget,shotsOnPost,shotsOnTarget,shotsTotal,tackleSuccessful,tackleUnsuccesful,tacklesTotal,throwInsAccurate,throwInsTotal,touches
386,29.0,16.0,30.0,1.0,2.0,13.0,15.0,7.0,11.0,4.0,7.0,1.0,12.0,0,5,0.0,15.0,Huddersfield,16.0,3.0,259.0,6.0,337.0,350.0,l,2.0,3.0,0.0,2.0,7.0,13.0,7.0,20.0,18.0,22.0,519.0
387,29.0,13.0,13.0,2.0,7.0,16.0,8.0,7.0,12.0,5.0,7.0,0.0,10.0,5,0,1.0,15.0,Arsenal,13.0,2.0,716.0,16.0,813.0,829.0,w,6.0,8.0,1.0,7.0,21.0,19.0,7.0,26.0,16.0,17.0,984.0
388,59.0,25.0,31.0,4.0,9.0,44.0,10.0,11.0,17.0,6.0,11.0,1.0,10.0,3,0,0.0,13.0,Liverpool,15.0,2.0,445.0,9.0,548.0,566.0,w,4.0,3.0,1.0,7.0,14.0,14.0,11.0,25.0,18.0,23.0,744.0
389,59.0,34.0,21.0,1.0,5.0,15.0,10.0,11.0,15.0,4.0,11.0,1.0,8.0,0,3,1.0,18.0,Stoke,44.0,4.0,244.0,2.0,349.0,376.0,l,5.0,4.0,0.0,1.0,10.0,16.0,11.0,27.0,17.0,24.0,553.0
390,32.0,13.0,32.0,3.0,5.0,6.0,10.0,7.0,15.0,6.0,9.0,1.0,11.0,1,2,0.0,24.0,Southampton,26.0,1.0,157.0,7.0,270.0,279.0,l,2.0,3.0,1.0,2.0,7.0,15.0,7.0,22.0,6.0,13.0,467.0
391,32.0,19.0,12.0,4.0,6.0,26.0,12.0,9.0,10.0,3.0,7.0,0.0,12.0,2,1,1.0,9.0,Man City,6.0,1.0,668.0,21.0,778.0,805.0,w,6.0,8.0,0.0,12.0,26.0,16.0,9.0,25.0,26.0,29.0,982.0
392,48.0,22.0,13.0,1.0,6.0,19.0,8.0,11.0,28.0,11.0,17.0,1.0,6.0,0,4,0.0,7.0,West Ham,29.0,1.0,406.0,5.0,511.0,546.0,l,1.0,3.0,1.0,3.0,7.0,11.0,11.0,22.0,28.0,30.0,703.0
393,48.0,26.0,49.0,1.0,2.0,29.0,7.0,17.0,15.0,4.0,11.0,0.0,16.0,4,0,1.0,15.0,Everton,19.0,2.0,325.0,5.0,411.0,427.0,w,1.0,2.0,0.0,5.0,8.0,19.0,17.0,36.0,15.0,21.0,613.0
394,45.0,18.0,30.0,3.0,6.0,18.0,10.0,5.0,7.0,4.0,3.0,0.0,11.0,2,1,0.0,17.0,Burnley,27.0,1.0,247.0,7.0,345.0,367.0,w,4.0,2.0,1.0,4.0,10.0,22.0,5.0,27.0,11.0,21.0,543.0
395,45.0,27.0,18.0,3.0,4.0,27.0,12.0,3.0,15.0,10.0,5.0,0.0,9.0,1,2,1.0,6.0,Bournemouth,18.0,0.0,453.0,8.0,567.0,602.0,l,5.0,4.0,0.0,2.0,11.0,14.0,3.0,17.0,24.0,28.0,763.0
396,30.0,9.0,42.0,0.0,1.0,10.0,16.0,12.0,10.0,6.0,4.0,2.0,7.0,0,1,0.0,14.0,Swansea,20.0,0.0,315.0,2.0,404.0,416.0,l,1.0,1.0,0.0,0.0,2.0,16.0,12.0,28.0,14.0,22.0,611.0
