,aerialsTotal,aerialsWon,clearances,cornersAccurate,cornersTotal,defensiveAerials,dispossessed,dribbledPast,dribblesAttempted,dribblesLost,dribblesWon,errorsCount,foulsCommited,interceptions,offensiveAerials,offsidesCaught,passesAccurate,passesKey,passesTotal,possession,shotsBlocked,shotsOffTarget,shotsOnTarget,shotsTotal,tackleSuccessful,tackleUnsuccesful,tacklesTotal,throwInsAccurate,throwInsTotal,touches
dribblesWon,-0.16197878188240455,-0.12543014432644461,-0.2370524453067094,0.1961327008862094,0.21777526634584696,-0.011984913193265154,0.157534787727557,0.023355569986691686,0.8707216637980689,0.2642468563104707,1.0,0.03928725854120028,-0.06751557719044046,-0.05442475346790083,-0.23833564207583122,0.015924249687646594,0.32200247318368985,0.2911296965325653,0.31189353261552016,0.31331168653431407,0.20971714624378876,0.18090598926179385,0.25002019917727436,0.29191366154744164,0.011508046670654073,0.023355569986691686,0.021244524788725423,0.14674991096456325,0.05181157475489177,0.35962230015825075
errorsCount,-0.056746647266770624,-0.05179997794545285,-0.05776126738074058,-0.02088884024920328,-0.0010457479866901012,-0.08301165623798168,0.07721967853801914,0.06639622634213377,0.03680983502204825,0.015483643235411987,0.03928725854120028,1.0,-0.042336668019310776,0.010442960870426905,-0.004625485611269566,0.02860873553045959,0.008174987101751803,-0.07497927746322633,0.014062711292886684,0.013684396950630614,-0.030525762544808467,-0.07078729232553191,-0.08588704716147405,-0.08617483434698692,0.009538226321546672,0.06639622634213377,0.04495598751536001,0.05268548660973613,0.056106552348928765,0.014830474310789581
foulsCommited,0.07797655883299852,0.06496033771423117,0.10507805748952374,-0.07485910207450988,-0.08950816547872871,0.004757886393102001,-0.059833667723688866,0.10246500899227023,-0.059998860989468106,-0.020216899900586158,-0.06751557719044046,-0.042336668019310776,1.0,0.08640278130858231,0.11574713996768812,-0.040845092834890566,-0.23255643696231842,-0.10059385160118248,-0.2325266945018581,-0.2309055881941466,-0.07046004660409907,-0.06797662498244388,-0.06631147468498828,-0.09321804380671335,0.081615386183618,0.10246500899227023,0.11393813136294015,-0.06533146160925955,-0.012573939786747179,-0.22683219556234835
interceptions,-0.12213718634196566,-0.09212742386384638,0.12414240732094343,-0.2119396706979677,-0.2530556010397901,-0.2501976184874776,0.008711508072796652,0.170093825176318,-0.04145010381693081,-0.002734772713067066,-0.05442475346790083,0.010442960870426905,0.08640278130858231,1.0,0.06162727121229105,0.10105126860179195,-0.29637601475790476,-0.24446706080800001,-0.3026782466519522,-0.309762565300326,-0.19028575385973504,-0.15957333093956103,-0.19143302542648014,-0.24629546094613675,0.1749137427372334,0.170093825176318,0.21540494163328305,-0.18837934357636335,-0.13485722133233793,-0.2719766093530523
offensiveAerials,0.7722415927610012,0.6561555554550885,0.1526845590794219,-0.14389194915421766,-0.07421823698940258,0.1933139434417845,-0.07929082126457437,-0.011545594673592225,-0.20700389448955728,-0.0619594171326067,-0.23833564207583122,-0.004625485611269566,0.11574713996768812,0.06162727121229105,1.0,0.04804959858250125,-0.4771483986405383,-0.2202081930763016,-0.4297822576804596,-0.41582273189006763,-0.0934384643514012,-0.07958809177603851,-0.2605224367724038,-0.19880805682761662,0.005758674519953566,-0.011545594673592225,-0.002876582586632362,0.030044356690650982,0.19188443327806542,-0.40793094144283343
offsidesCaught,0.020156589908208105,0.021615269309663232,-0.008215671317333554,-0.01660716276795738,-0.016110478968673635,-0.01688611717094796,-0.0014377296950246498,0.03410953606141746,-0.010383176555243373,-0.04334794214600924,0.015924249687646594,0.02860873553045959,-0.040845092834890566,0.10105126860179195,0.04804959858250125,1.0,-0.012887680734179136,-0.01123700454550047,-0.009423117109851841,-0.011990852633106869,-0.040415583213381796,-0.03482148183448729,0.025598992575342937,-0.021989782789660645,0.06865821238498968,0.03410953606141746,0.06556562345133399,0.029352903844678233,0.014871047797726291,0.0069586596455966845
passesAccurate,-0.25797932119712924,-0.21142711116423066,-0.4618539940629917,0.35507468914757084,0.383297287369968,0.0783969670269638,0.07590759819458819,-0.2006502573581242,0.3012028557384212,0.12593596442610738,0.32200247318368985,0.008174987101751803,-0.23255643696231842,-0.29637601475790476,-0.4771483986405383,-0.012887680734179136,1.0,0.5560316965907064,0.9936914726486562,0.992138705834517,0.3973098816449596,0.3805643638997057,0.4331473764230618,0.5518528426855847,-0.13021073483458376,-0.2006502573581242,-0.20339276426412595,0.2815088010650804,0.03624050880546236,0.9793415585055005
passesKey,-0.04654306074230767,0.00030100742948718166,-0.2686835044532026,0.5458234802110861,0.5517700108128494,0.14816820301403147,-0.013601076011426013,-0.2453464481891268,0.25164858961177783,0.07331304054610237,0.2911296965325653,-0.07497927746322633,-0.10059385160118248,-0.24446706080800001,-0.2202081930763016,-0.01123700454550047,0.5560316965907064,1.0,0.5455621484447866,0.5596024385339805,0.672386278814682,0.7085677638278386,0.6807938169509197,0.9397369837829916,-0.12288265269838389,-0.2453464481891268,-0.22449750629026255,0.20928853226650063,0.06788695087786262,0.5735421537291081
passesTotal,-0.19628193039365957,-0.1605212651445861,-0.4586064976961574,0.3463009417908404,0.3800201259865592,0.12634515353635503,0.08104363163655195,-0.21179091103177605,0.2926183481518083,0.12369139181282629,0.31189353261552016,0.014062711292886684,-0.2325266945018581,-0.3026782466519522,-0.4297822576804596,-0.009423117109851841,0.9936914726486562,0.5455621484447866,1.0,0.9982985608166564,0.39186323901601505,0.37575497072708536,0.4235808546301532,0.5427932726306612,-0.12262133133763652,-0.21179091103177605,-0.20481443332828927,0.3181783760204181,0.08224951920012276,0.9884983802324054
possession,-0.18425401753492424,-0.15010519899996633,-0.4698085435668222,0.3613293809582449,0.41087415517777504,0.13097067794799985,0.08149710044406112,-0.22196266139319273,0.29396733840785694,0.12429004666421835,0.31331168653431407,0.013684396950630614,-0.2309055881941466,-0.309762565300326,-0.41582273189006763,-0.011990852633106869,0.992138705834517,0.5596024385339805,0.9982985608166564,1.0,0.40947741802022886,0.394159236802782,0.42430532612222815,0.5593957770087992,-0.1298715836300716,-0.22196266139319273,-0.21555776191693485,0.33294091262634007,0.0948386432546145,0.989866639628438
