playerName,AerialLossPerD90m,AerialLossPerDefense,AerialLossTotal,AerialWonPerD90m,AerialWonPerDefense,AerialWonTotal,AttackTimes,ClearPerD90m,ClearPerDefense,ClearTotal,DefendTimes,DispossessedInD3rdPerA90m,DispossessedInD3rdPerAttack,DispossessedInD3rdTotal,DispossessedPerA90m,DispossessedPerAttack,DispossessedTotal,DribblePerA90m,DribblePerAttack,DribbleTotal,ForwardPassMeterPerA90m,ForwardPassMeterPerAttack,ForwardPassMeterTotal,ForwardPassPerA90m,ForwardPassPerAttack,ForwardPassTotal,FoulPerD90m,FoulPerDefense,FoulTotal,FouledPerA90m,FouledPerAttack,FouledTotal,GoalPerA90m,GoalPerAttack,GoalTotal,InterceptionsPerD90m,InterceptionsPerDefense,InterceptionsTotal,KeyPassPerA90m,KeyPassPerAttack,KeyPassTotal,PassCrossAccuratePerA90m,PassCrossAccuratePerAttack,PassCrossAccurateTotal,PassLeadingKpPerA90m,PassLeadingKpPerAttack,PassLeadingKpTotal,PassPerA90m,PassPerAttack,PassTotal,Rounds,SavePerD90m,SavePerDefense,SaveTotal,ShotPerA90m,ShotPerAttack,ShotTotal,SuccessPassPerA90m,SuccessPassPerAttack,SuccessPassTotal,SuccessfulPassToA3rdPerA90m,SuccessfulPassToA3rdPerAttack,SuccessfulPassToA3rdTotal,TacklesPerD90m,TacklesPerDefense,TacklesTotal,TurnoverPerA90m,TurnoverPerAttack,TurnoverTotal,UnSuccessPassPerA90m,UnSuccessPassPerAttack,UnSuccessPassTotal,minutes,opponent_team_id,team_id
Danilho Doekhi,3.5121025154247754,0.6390328151986183,37.0,3.9867109634551503,0.7253886010362695,42.0,973.8333333333333,7.783578547698151,1.4162348877374784,82.0,948.1499999999997,0.18483655656340925,0.03454231433506045,2.0,0.3696731131268185,0.0690846286701209,4.0,0.18483655656340925,0.03454231433506045,2.0,37.38736012692147,6.9869617226892515,404.54508374370766,61.45815505733357,11.4853195164076,665.0,1.3289036544850503,0.24179620034542312,14.0,1.1090193393804553,0.20725388601036268,12.0,0.0,0.0,0.0,3.0374940673944004,0.5526770293609672,32.0,0.2772548348451138,0.05181347150259067,3.0,0.0,0.0,0.0,0.18483655656340925,0.03454231433506045,2.0,89.73814821153518,16.77029360967185,971.0,5790,0.0,0.0,0.0,0.8317645045353415,0.15544041450777202,9.0,80.95841177477324,15.129533678756477,876.0,4.066404244395003,0.7599309153713298,44.0,1.7085904129093503,0.31088082901554404,18.0,0.739346226253637,0.1381692573402418,8.0,8.502481601916823,1.5889464594127805,92.0,1292.0,16403,8670
Nils Röseler,2.1472761404514644,0.4428424304840371,43.0,3.9449956998992017,0.8135942327497425,79.0,1366.8833333333332,10.137140849108075,2.090628218331617,203.0,1802.2833333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.06584321997732068,0.010298661174047374,1.0,87.54556138737229,13.693164980857006,1329.6063196412154,74.40283857437237,11.637487126673532,1130.0,0.7989864708656611,0.164778578784758,16.0,1.1193347396144513,0.17507723995880534,17.0,0.06584321997732068,0.010298661174047374,1.0,1.9974661771641526,0.4119464469618949,40.0,0.197529659931962,0.03089598352214212,3.0,0.06584321997732068,0.010298661174047374,1.0,0.06584321997732068,0.010298661174047374,1.0,97.25043590650263,15.211122554067972,1477.0,9710,0.0,0.0,0.0,0.6584321997732068,0.10298661174047373,10.0,75.39048687403218,11.791967044284243,1145.0,5.596673698072258,0.8753861997940269,85.0,1.04866974301118,0.21627188465499483,21.0,0.3292160998866034,0.051493305870236865,5.0,21.39904649262922,3.3470648815653967,325.0,1249.0,15654,26010
Jerold Promes,2.3052294557097115,0.48372093023255813,26.0,3.9011575404318197,0.8186046511627907,44.0,752.0166666666668,8.777604465971594,1.841860465116279,99.0,1015.0833333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.15525342162569,7.641461463004902,410.7285536365135,54.81261496863987,8.52093023255814,458.0,1.2412773992283062,0.26046511627906976,14.0,1.3164601848363289,0.20465116279069767,11.0,0.0,0.0,0.0,1.7732534274690088,0.37209302325581395,20.0,0.3590345958644533,0.05581395348837209,3.0,0.0,0.0,0.0,0.23935639724296887,0.037209302325581395,2.0,74.79887413842778,11.627906976744185,625.0,5375,0.0,0.0,0.0,0.3590345958644533,0.05581395348837209,3.0,61.39491589282152,9.544186046511628,513.0,2.15420757518672,0.33488372093023255,18.0,1.595928084722108,0.33488372093023255,18.0,0.3590345958644533,0.05581395348837209,3.0,13.284280046984772,2.0651162790697675,111.0,11.0,10581,16830
Branislav Ninaj,3.3411600456910784,0.6513026052104208,39.0,3.9408554385074255,0.7682030728122912,46.0,874.6166666666667,9.252443203452218,1.8036072144288577,108.0,1050.533333333333,0.0,0.0,0.0,0.41160889532557116,0.06680026720106881,4.0,0.8232177906511423,0.13360053440213762,8.0,44.39093922649563,7.204233521947634,431.3895032942243,48.5698496484174,7.882431529726119,472.0,1.8847569488513776,0.36740146960587844,22.0,0.6174133429883567,0.1002004008016032,6.0,0.30870667149417835,0.0501002004008016,3.0,2.227440030460719,0.43420173680694724,26.0,0.10290222383139279,0.016700066800267203,1.0,0.30870667149417835,0.0501002004008016,3.0,0.10290222383139279,0.016700066800267203,1.0,68.84158774320179,11.172344689378757,669.0,5988,0.0,0.0,0.0,1.4406311336394992,0.23380093520374082,14.0,50.62789412504526,8.216432865731463,492.0,2.160946700459249,0.35070140280561124,21.0,2.6557938824723957,0.5177020708082832,31.0,0.6174133429883567,0.1002004008016032,6.0,16.052746917697277,2.6052104208416833,156.0,751.0,12160,6050
Thomas Meißner,1.7917165567881823,0.35647861128332303,23.0,2.882326634833163,0.5734655920644761,37.0,946.7833333333331,6.855263347711306,1.3639181649101055,88.0,1155.3166666666666,0.0950587075536466,0.015499070055796652,1.0,0.6654109528755261,0.10849349039057657,7.0,0.4752935377682329,0.07749535027898327,5.0,46.667450535488506,7.609003991210003,490.93293751286944,58.366046437939,9.516429014259145,614.0,1.3243122376260477,0.2634841909485431,17.0,1.0456457830901125,0.1704897706137632,11.0,0.0950587075536466,0.015499070055796652,1.0,1.7138158369278265,0.3409795412275264,22.0,0.3802348302145864,0.06199628022318661,4.0,0.0,0.0,0.0,0.2851761226609398,0.04649721016738996,3.0,82.32084074145794,13.4221946683199,866.0,6452,0.0,0.0,0.0,0.2851761226609398,0.04649721016738996,3.0,69.392856514162,11.314321140731556,730.0,4.087524424806803,0.6664600123992561,43.0,1.0127093581846247,0.2014879107253565,13.0,0.3802348302145864,0.06199628022318661,4.0,12.642808104634994,2.0613763174209545,133.0,970.0,15566,3565
Freek Heerkens,3.4589516387317176,0.6865861411315957,54.0,3.971388918543824,0.7883026064844246,62.0,1158.4,7.3662858972990275,1.4621741894469167,115.0,1405.0500000000002,0.23308011049723756,0.03814367450731087,3.0,0.6992403314917126,0.11443102352193261,9.0,0.6215469613259669,0.101716465352829,8.0,69.81221627664723,11.424803466111204,898.5607926096462,70.93404696132596,11.608391608391608,913.0,1.2170385395537524,0.24157660521296884,19.0,1.4761740331491713,0.24157660521296884,19.0,0.07769337016574586,0.012714558169103624,1.0,2.9465143589196114,0.5848696757787667,46.0,0.5438535911602209,0.08900190718372536,7.0,0.31077348066298344,0.0508582326764145,4.0,0.5438535911602209,0.08900190718372536,7.0,97.89364640883977,16.020343293070567,1260.0,7865,0.0,0.0,0.0,0.6215469613259669,0.101716465352829,8.0,69.38017955801105,11.354100445009536,893.0,5.2831491712707175,0.8645899554990464,68.0,1.2810931995302657,0.25429116338207247,20.0,1.553867403314917,0.25429116338207247,20.0,19.345649171270715,3.1659249841068022,249.0,721.0,13086,3220
Eric Botteghin,4.1071214122733295,0.7027926761605326,38.0,8.754653536687886,1.4980580728685038,81.0,1036.3166666666668,10.051639245826834,1.7199926021823562,93.0,832.6999999999996,0.08684604126795219,0.018494544109487702,1.0,0.43423020633976095,0.0924727205474385,5.0,0.43423020633976095,0.0924727205474385,5.0,106.51350775900539,22.682885008278696,1226.463592397629,88.06188584570351,18.753467727020528,1014.0,1.5131499939954371,0.25892361753282783,14.0,0.7816143714115696,0.1664508969853893,9.0,0.17369208253590437,0.036989088218975404,2.0,3.350546415275611,0.5733308673941186,31.0,0.26053812380385655,0.0554836323284631,3.0,0.0,0.0,0.0,0.26053812380385655,0.0554836323284631,3.0,116.46054134032389,24.80118365082301,1341.0,5407,0.0,0.0,0.0,3.0396114443783264,0.6473090438320696,35.0,102.65202077871947,21.860551137414465,1182.0,5.2976085173450835,1.1281671906787498,61.0,2.1616428485649104,0.369890882189754,20.0,0.6079222888756654,0.12946180876641392,7.0,13.721674520336446,2.922137969299057,158.0,854.0,11894,6400
Jan-Arie van der Heijden,3.7507539892887833,0.6228487133256844,38.0,3.7507539892887833,0.6228487133256844,38.0,1188.8000000000004,6.0209471933319945,0.9998360924438617,61.0,911.8166666666665,0.15141318977119778,0.03278151122766759,2.0,0.68135935397039,0.1475168005245042,9.0,0.757065948855989,0.16390755613833796,10.0,60.33421364164878,13.062578662367208,796.9479241910233,74.19246298788691,16.062940501557122,980.0,1.9740810469940966,0.3278151122766759,20.0,0.9841857335127856,0.21307982297983935,13.0,0.15141318977119778,0.03278151122766759,2.0,2.9611215704911444,0.49172266841501394,30.0,0.30282637954239555,0.06556302245533518,4.0,0.07570659488559889,0.016390755613833796,1.0,0.30282637954239555,0.06556302245533518,4.0,102.3553162853297,22.160301589903295,1352.0,6101,0.0,0.0,0.0,0.8327725437415879,0.18029831175217179,11.0,94.78465679676982,20.521226028519916,1252.0,6.510767160161506,1.4096049827897066,86.0,2.0727850993438013,0.3442058678905098,21.0,0.4542395693135933,0.09834453368300279,6.0,7.040713324360698,1.524340272086543,93.0,389.0,16672,8704
Samir Memisevic,4.267433446319076,0.7259051950323596,83.0,8.791941196633276,1.4955396186811265,171.0,1541.3166666666664,5.501390105495676,0.9358054923911141,107.0,1750.466666666667,0.29195817428821685,0.043729228616407205,5.0,0.9926577925799372,0.1486793772957845,17.0,1.109441062295224,0.16617106874234738,19.0,91.81899972263595,13.752565894035412,1572.468384324009,74.68290098292586,11.185936680076964,1279.0,2.9820619263434507,0.5072590519503236,58.0,2.686015203451595,0.4023089032709463,46.0,0.1751749045729301,0.026237537169844324,3.0,3.187721369539551,0.5422424348434494,62.0,0.642307983434077,0.09620430295609586,11.0,0.05839163485764337,0.00874584572328144,1.0,0.5839163485764337,0.08745845723281441,10.0,98.44829636998672,14.74549588945251,1686.0,11434,0.0,0.0,0.0,1.5765741411563707,0.2361378345285989,27.0,70.53709490803318,10.564981633723981,1208.0,7.240562722347778,1.0844848696868987,124.0,1.7995201279658755,0.30610460031485043,35.0,1.0510494274375806,0.15742522301906595,18.0,27.50246001795003,4.119293335665559,471.0,1354.0,15413,26530
Nick Bakker,4.695801563146228,0.874853302037768,82.0,3.206888872392546,0.597460791635549,56.0,1462.7166666666667,6.929170599276751,1.2909420676410968,121.0,1571.6166666666672,0.06152934607978305,0.01066894270777766,1.0,0.18458803823934916,0.03200682812333298,3.0,0.3691760764786983,0.06401365624666595,6.0,55.30288604503133,9.58929942184226,898.805034809275,60.23722981210761,10.444894910914329,979.0,2.0615714179666367,0.38408193747999575,36.0,0.3691760764786983,0.06401365624666595,6.0,0.06152934607978305,0.01066894270777766,1.0,1.7752420543601592,0.33073722394110744,31.0,0.4307054225584813,0.07468259895444362,7.0,0.1230586921595661,0.02133788541555532,2.0,0.4307054225584813,0.07468259895444362,7.0,82.818499823388,14.36039688466873,1346.0,9373,0.0,0.0,0.0,0.7383521529573966,0.1280273124933319,12.0,68.29757414855918,11.842526405633201,1110.0,5.722229185419823,0.9922116718233223,93.0,1.1453174544259093,0.2133788541555532,20.0,0.6152934607978305,0.1066894270777766,10.0,14.09022025227032,2.443187880081084,229.0,1191.0,15434,29750
Keziah Veendorp,2.3054358155100467,0.4333845938766951,31.0,2.231066918235529,0.4194044456871243,30.0,1126.4833333333336,7.2881519329027284,1.3700545225779392,98.0,1210.1833333333334,0.0,0.0,0.0,0.31957862965867223,0.05592059275828324,4.0,0.15978931482933612,0.02796029637914162,2.0,72.91823688384426,12.759398317054618,912.6797616189168,66.39246031158915,11.617503145533343,831.0,0.7436889727451763,0.1398014818957081,10.0,0.3994732870733403,0.06990074094785405,5.0,0.07989465741466806,0.01398014818957081,1.0,3.1234936855297404,0.5871662239619739,42.0,0.3994732870733403,0.06990074094785405,5.0,0.0,0.0,0.0,0.23968397224400415,0.041940444568712425,3.0,97.15190341623635,16.999860198518103,1216.0,7153,0.0,0.0,0.0,0.5592626019026764,0.09786103732699566,7.0,79.2555001553507,13.868307004054243,992.0,7.430203139564128,1.3001537816300852,93.0,1.3386401509413173,0.2516426674122746,18.0,0.6391572593173445,0.11184118551656648,8.0,17.097456686738962,2.991751712568153,214.0,480.0,15434,29750
Ted van de Pavert,5.243495005019668,0.9409888357256778,59.0,8.709534076134362,1.562998405103668,98.0,867.3166666666666,10.220371619953589,1.8341307814992027,115.0,1012.6833333333333,0.10376832760045351,0.01594896331738437,1.0,0.41507331040181406,0.06379585326953748,4.0,0.20753665520090703,0.03189792663476874,2.0,69.59163043551388,10.696080265324905,670.6442326358716,65.78911969868753,10.11164274322169,634.0,2.5773111041622094,0.4625199362041467,29.0,0.20753665520090703,0.03189792663476874,2.0,0.0,0.0,0.0,3.9104030545909385,0.7017543859649122,44.0,0.41507331040181406,0.06379585326953748,4.0,0.0,0.0,0.0,0.31130498280136054,0.04784688995215311,3.0,96.08947135801996,14.768740031897925,926.0,6270,0.0,0.0,0.0,0.8301466208036281,0.12759170653907495,8.0,72.63782932031746,11.164274322169058,700.0,4.2545014316185945,0.6539074960127592,41.0,2.666183900857458,0.4784688995215311,30.0,1.0376832760045351,0.1594896331738437,10.0,23.244105382501587,3.5725677830940987,224.0,759.0,11114,5654
Pantelis Hatzidiakos,5.199565149867991,0.8479212253829322,31.0,3.354558161205155,0.5470459518599562,20.0,701.1999999999999,6.876844230470568,1.1214442013129104,41.0,536.5833333333335,0.25670279520821454,0.05470459518599562,2.0,0.5134055904164291,0.10940919037199125,4.0,0.5134055904164291,0.10940919037199125,4.0,92.36210293339953,19.68280652106119,719.6034064099972,88.562464346834,18.87308533916849,690.0,2.012734896723093,0.3282275711159737,12.0,0.5134055904164291,0.10940919037199125,4.0,0.12835139760410727,0.02735229759299781,1.0,2.515918620903866,0.41028446389496714,15.0,0.25670279520821454,0.05470459518599562,2.0,0.0,0.0,0.0,0.12835139760410727,0.02735229759299781,1.0,118.72504278379921,25.300875273522976,925.0,3656,0.0,0.0,0.0,0.7701083856246435,0.16411378555798686,6.0,103.96463205932687,22.155361050328228,810.0,6.417569880205363,1.3676148796498906,50.0,2.180462804783351,0.35557986870897157,13.0,0.6417569880205363,0.13676148796498905,5.0,14.375356531660014,3.063457330415755,112.0,152.0,15934,8019
