playerName,AerialLossPerD90m,AerialLossPerDefense,AerialLossTotal,AerialWonPerD90m,AerialWonPerDefense,AerialWonTotal,AttackTimes,ClearPerD90m,ClearPerDefense,ClearTotal,DefendTimes,DispossessedInD3rdPerA90m,DispossessedInD3rdPerAttack,DispossessedInD3rdTotal,DispossessedPerA90m,DispossessedPerAttack,DispossessedTotal,DribblePerA90m,DribblePerAttack,DribbleTotal,ForwardPassMeterPerA90m,ForwardPassMeterPerAttack,ForwardPassMeterTotal,ForwardPassPerA90m,ForwardPassPerAttack,ForwardPassTotal,FoulPerD90m,FoulPerDefense,FoulTotal,FouledPerA90m,FouledPerAttack,FouledTotal,GoalPerA90m,GoalPerAttack,GoalTotal,InterceptionsPerD90m,InterceptionsPerDefense,InterceptionsTotal,KeyPassPerA90m,KeyPassPerAttack,KeyPassTotal,PassCrossAccuratePerA90m,PassCrossAccuratePerAttack,PassCrossAccurateTotal,PassLeadingKpPerA90m,PassLeadingKpPerAttack,PassLeadingKpTotal,PassPerA90m,PassPerAttack,PassTotal,Rounds,SavePerD90m,SavePerDefense,SaveTotal,ShotPerA90m,ShotPerAttack,ShotTotal,SuccessPassPerA90m,SuccessPassPerAttack,SuccessPassTotal,SuccessfulPassToA3rdPerA90m,SuccessfulPassToA3rdPerAttack,SuccessfulPassToA3rdTotal,TacklesPerD90m,TacklesPerDefense,TacklesTotal,TurnoverPerA90m,TurnoverPerAttack,TurnoverTotal,UnSuccessPassPerA90m,UnSuccessPassPerAttack,UnSuccessPassTotal,minutes,opponent_team_id,season,team_id
Shi Ke,1.641793017753044,0.3398345153664303,23.0,2.9980568150272977,0.6205673758865249,42.0,1385.2166666666667,14.490607939298606,2.999408983451537,203.0,1260.8166666666664,0.06497178540059918,0.014775413711583925,1.0,0.19491535620179753,0.044326241134751775,3.0,0.12994357080119837,0.02955082742316785,2.0,54.16685214983129,12.31823390773829,833.6980708757275,55.8107636591147,12.692080378250592,859.0,1.641793017753044,0.3398345153664303,23.0,0.45480249780419424,0.10342789598108747,7.0,0.0,0.0,0.0,2.35561606895002,0.4875886524822695,33.0,0.25988714160239673,0.0591016548463357,4.0,0.0,0.0,0.0,0.12994357080119837,0.02955082742316785,2.0,65.88139039620756,14.9822695035461,1014.0,6768,0.0,0.0,0.0,0.12994357080119837,0.02955082742316785,2.0,54.31641259490092,12.35224586288416,836.0,3.4435046262317566,0.7830969267139479,53.0,1.2134991870348586,0.2511820330969267,17.0,0.25988714160239673,0.0591016548463357,4.0,11.500006015906054,2.6152482269503547,177.0,2745,145417,56504,254268
Li Peng,4.528573140050317,0.9800490024501224,56.0,3.7198993650413312,0.8050402520126007,46.0,1108.9833333333331,9.380615790104226,2.0301015050752538,116.0,1112.9333333333336,0.0,0.0,0.0,0.08115541261515805,0.01750087504375219,1.0,0.2434662378454741,0.052502625131256565,3.0,65.009261525517,14.019015195447098,801.0465282678472,56.24070094230452,12.128106405320265,693.0,2.0216844375224627,0.4375218760938047,25.0,0.8115541261515805,0.17500875043752187,10.0,0.1623108252303161,0.03500175008750438,2.0,1.8599496825206656,0.4025201260063003,23.0,0.2434662378454741,0.052502625131256565,3.0,0.0,0.0,0.0,0.2434662378454741,0.052502625131256565,3.0,65.5735733930477,14.140707035351769,808.0,5714,0.0,0.0,0.0,0.9738649513818964,0.21001050052502626,12.0,49.58595710786157,10.693034651732587,611.0,3.976615218142744,0.8575428771438572,49.0,1.8599496825206656,0.4025201260063003,23.0,0.3246216504606322,0.07000350017500875,4.0,15.662994634725502,3.3776688834441724,193.0,2290,132976,48432,60720
Chen Hao,2.8441843452816395,0.6534761299691414,36.0,3.950256035113388,0.9076057360682519,50.0,948.0666666666671,7.505486466715437,1.7244508985296787,95.0,1139.1666666666663,0.09493003304971517,0.01815211472136504,1.0,0.47465016524857584,0.0907605736068252,5.0,0.28479009914914555,0.05445634416409512,3.0,68.27795070314424,13.055817577289886,719.2449903328998,46.04106602911185,8.803775639862044,485.0,1.659107534747623,0.3811944091486658,21.0,1.3290204626960125,0.25412960609911056,14.0,0.09493003304971517,0.01815211472136504,1.0,2.4491587417703005,0.5627155563623162,31.0,0.47465016524857584,0.0907605736068252,5.0,0.09493003304971517,0.01815211472136504,1.0,0.28479009914914555,0.05445634416409512,3.0,52.87602840869135,10.110727899800327,557.0,5509,0.0,0.0,0.0,1.2340904296462973,0.23597749137774549,13.0,35.78862245974262,6.843347249954619,377.0,6.834962379579492,1.3069522599382828,72.0,1.975128017556694,0.45380286803412595,25.0,0.8543702974474365,0.16336903249228535,9.0,16.32796568455101,3.1221637320747866,172.0,2162,132837,46414,95496
Zhang Wei,2.7106732760243437,0.5621925509486999,8.0,3.3883415950304303,0.7027406886858749,10.0,264.5666666666666,2.7106732760243437,0.5621925509486999,8.0,265.61666666666684,0.0,0.0,0.0,0.0,0.0,0.0,0.3401789089076478,0.07027406886858749,1.0,47.24758936256529,9.76039449183209,138.89041361877062,48.64558397379364,10.049191848208011,143.0,3.3883415950304303,0.7027406886858749,10.0,2.3812523623535347,0.4919184820801124,7.0,0.0,0.0,0.0,1.6941707975152152,0.35137034434293746,5.0,0.6803578178152956,0.14054813773717498,2.0,0.3401789089076478,0.07027406886858749,1.0,0.3401789089076478,0.07027406886858749,1.0,70.07685523497545,14.476458186929023,206.0,1423,0.0,0.0,0.0,0.0,0.0,0.0,44.56343706690186,9.20590302178496,131.0,6.123220360337661,1.264933239634575,18.0,3.0495074355273872,0.6324666198172875,9.0,0.6803578178152956,0.14054813773717498,2.0,13.266977447398263,2.7406886858749124,39.0,554,37084,12108,54486
Li Yunqiu,0.8001975796492959,0.18072289156626506,3.0,0.5334650530995306,0.12048192771084339,2.0,319.6833333333332,4.534452951346011,1.0240963855421688,17.0,337.41666666666674,0.2815285960064648,0.06024096385542169,1.0,0.5630571920129296,0.12048192771084339,2.0,0.5630571920129296,0.12048192771084339,2.0,44.44939201033422,9.511197993643691,157.88588669448527,62.217819717428725,13.313253012048193,221.0,3.2007903185971838,0.7228915662650602,12.0,2.5337573640581836,0.5421686746987951,9.0,0.0,0.0,0.0,2.667325265497653,0.6024096385542169,10.0,1.4076429800323242,0.30120481927710846,5.0,1.4076429800323242,0.30120481927710846,5.0,1.4076429800323242,0.30120481927710846,5.0,92.34137949012046,19.759036144578314,328.0,1660,0.0,0.0,0.0,0.5630571920129296,0.12048192771084339,2.0,57.994890777331754,12.409638554216867,206.0,7.882800688181016,1.6867469879518073,28.0,4.267720424796245,0.9638554216867471,16.0,0.8445857880193944,0.18072289156626506,3.0,12.105729628277986,2.5903614457831328,43.0,678,42081,14126,17710
Wang Shenchao,1.927224765303747,0.39255845707458614,23.0,2.9327333385057024,0.5973715651135006,35.0,1176.8833333333337,6.870975250213359,1.3995562382659157,82.0,1074.0833333333335,0.15294634132525167,0.03413551800648575,2.0,0.5353121946383809,0.11947431302270012,7.0,0.9176780479515101,0.2048131080389145,12.0,27.33608294198933,6.101037418794425,357.45978236716536,43.58970727769673,9.728622631848438,570.0,3.0165257196058652,0.6144393241167435,36.0,1.988302437228272,0.44376173408431474,26.0,0.15294634132525167,0.03413551800648575,2.0,2.5975638141050506,0.5291005291005291,31.0,1.0706243892767617,0.23894862604540024,14.0,0.6117853653010067,0.136542072025943,8.0,1.0706243892767617,0.23894862604540024,14.0,65.91987311118348,14.712408260795357,862.0,5859,0.0,0.0,0.0,0.7647317066262583,0.17067759003242874,10.0,42.748502400407844,9.540877282812767,559.0,3.5177658504807887,0.7851169141491723,46.0,3.1841104818061905,0.6485748421232292,38.0,1.2235707306020134,0.273084144051886,16.0,11.318029258068623,2.526028332479945,148.0,2332,141759,48432,217944
Fu Huan,1.6202160288038403,0.3528028224225794,9.0,1.6202160288038403,0.3528028224225794,9.0,499.2833333333334,5.400720096012801,1.1760094080752646,30.0,499.93333333333334,0.36051674066161493,0.07840062720501764,2.0,0.9012918516540372,0.1960015680125441,5.0,0.18025837033080747,0.03920031360250882,1.0,50.31433757244212,10.941726633401926,279.1234464180831,47.76846813766398,10.388083104664837,265.0,2.880384051206828,0.6272050176401411,16.0,3.424909036285342,0.7448059584476676,19.0,0.0,0.0,0.0,2.7003600480064005,0.5880047040376323,15.0,0.7210334813232299,0.15680125441003528,4.0,0.7210334813232299,0.15680125441003528,4.0,0.7210334813232299,0.15680125441003528,4.0,66.87585539272958,14.543316346530771,371.0,2551,0.0,0.0,0.0,0.0,0.0,0.0,42.54097539807056,9.251274010192082,236.0,5.2274927395934165,1.1368090944727558,29.0,2.7003600480064005,0.5880047040376323,15.0,2.703875554962112,0.5880047040376323,15.0,10.274727108856025,2.2344178753430026,57.0,1046,45414,22198,99891
Zheng Dalun,1.5377605649846222,0.3469812630117973,5.0,3.0755211299692444,0.6939625260235947,10.0,269.84999999999997,3.690625355963093,0.8327550312283136,12.0,292.6333333333334,0.3335186214563647,0.06939625260235947,1.0,2.0011117287381883,0.4163775156141568,6.0,0.3335186214563647,0.06939625260235947,1.0,18.297222712473665,3.8071598033472265,54.86117276623353,45.692051139521965,9.507286606523248,137.0,2.1528647909784713,0.4857737682165163,7.0,6.0033351862145645,1.2491325468424705,18.0,0.0,0.0,0.0,2.4604169039753954,0.5551700208188758,8.0,0.0,0.0,0.0,1.3340744858254587,0.2775850104094379,4.0,0.0,0.0,0.0,77.37632017787661,16.0999306037474,232.0,1441,0.0,0.0,0.0,0.0,0.0,0.0,46.692607003891055,9.715475364330327,140.0,4.335742078932741,0.9021512838306732,13.0,1.5377605649846222,0.3469812630117973,5.0,2.0011117287381883,0.4163775156141568,6.0,11.3396331295164,2.359472588480222,34.0,584,29516,12108,60648
Ke Zhao,1.1027659912414063,0.24456521739130438,9.0,0.4901182183295139,0.10869565217391304,4.0,623.3833333333336,3.9209457466361113,0.8695652173913043,32.0,734.5166666666664,0.1443734459802689,0.02717391304347826,1.0,1.1549875678421513,0.21739130434782608,8.0,0.5774937839210756,0.10869565217391304,4.0,44.290422093311676,8.336325772726132,306.7767884363217,50.67507953907438,9.53804347826087,351.0,2.2055319824828126,0.48913043478260876,18.0,1.2993610138224203,0.24456521739130438,9.0,0.0,0.0,0.0,1.2252955458237849,0.2717391304347826,10.0,2.4543485816645716,0.46195652173913043,17.0,3.031842365585647,0.5706521739130435,21.0,1.5881079057829581,0.29891304347826086,11.0,73.77483089591742,13.88586956521739,511.0,3680,0.0,0.0,0.0,0.2887468919605378,0.05434782608695652,2.0,36.09336149506723,6.7934782608695645,250.0,6.3524316231318325,1.1956521739130435,44.0,1.837943318735677,0.4076086956521739,15.0,1.443734459802689,0.2717391304347826,10.0,11.405502232441243,2.1467391304347827,79.0,1405,81258,30270,62280
Li Ang,2.476212312277886,0.5266237565827969,36.0,4.0582368451220905,0.8630778232884727,59.0,1375.4833333333331,7.978906339562077,1.6968987712112347,116.0,1308.45,0.06543154527499426,0.014628437682855471,1.0,0.19629463582498277,0.04388531304856641,3.0,0.32715772637497126,0.07314218841427736,5.0,61.53625913299547,13.757574090292628,940.4677648124041,63.53403046201942,14.204212990052662,971.0,2.5449959876189383,0.5412521942656524,37.0,1.0469047243999081,0.23405500292568754,16.0,0.19629463582498277,0.04388531304856641,3.0,2.338644961595781,0.497366881217086,34.0,0.4580208169249598,0.10239906377998831,7.0,0.19629463582498277,0.04388531304856641,3.0,0.32715772637497126,0.07314218841427736,5.0,79.95734832604299,17.875950848449385,1222.0,6836,0.0,0.0,0.0,1.5703570865998622,0.3510825043885313,24.0,66.0858607277442,14.774722059684025,1010.0,3.664166535399678,0.8191925102399065,56.0,1.1005388054568384,0.23405500292568754,16.0,0.7197469980249369,0.16091281451141018,11.0,13.21717214554884,2.954944411936805,202.0,2772,167016,58522,206625
Yang Kuo,2.0396250386292625,0.45239564055110015,22.0,1.5760738934862484,0.3495784495167592,17.0,807.1833333333336,3.708409161144114,0.8225375282747275,40.0,970.7666666666664,0.11149883339183578,0.020563438206868186,1.0,1.1149883339183577,0.20563438206868187,10.0,1.2264871673101936,0.22619782027555008,11.0,50.30098217065436,9.27687857482792,451.1346050938818,60.20937003159131,11.104256631708822,540.0,1.6687841225148514,0.3701418877236274,18.0,1.895480167661208,0.3495784495167592,17.0,0.0,0.0,0.0,1.29794320640044,0.28788813489615467,14.0,1.0034895005265219,0.1850709438618137,9.0,1.6724825008775364,0.30845157310302285,15.0,0.7804918337428504,0.14394406744807733,7.0,84.96211104457885,15.669339913633559,762.0,4863,0.0,0.0,0.0,1.7839813342693724,0.32901501130989097,16.0,35.90262435217112,6.621427102611557,322.0,7.13592533707749,1.3160600452395639,64.0,3.5229887030869085,0.7814106518609911,38.0,2.11847783444488,0.39070532593049556,19.0,16.167330841816185,2.9816985399958873,145.0,1845,100657,40360,83040
Mi Haolun,1.6871234099531351,0.3894297635605007,14.0,1.3255969649631776,0.305980528511822,11.0,671.8833333333332,4.8203525998661005,1.1126564673157162,40.0,746.8333333333335,0.401855480862253,0.08344923504867872,3.0,1.0716146156326745,0.22253129346314326,8.0,1.0716146156326745,0.22253129346314326,8.0,30.007885021726793,6.231431869782476,224.01997571868,55.322104532036825,11.48817802503477,413.0,2.1691586699397454,0.5006954102920723,18.0,1.741373750403096,0.3616133518776078,13.0,0.0,0.0,0.0,2.2896674849363974,0.5285118219749653,19.0,1.3395182695408432,0.27816411682892905,10.0,0.5358073078163372,0.11126564673157163,4.0,1.0716146156326745,0.22253129346314326,8.0,83.98779550021086,17.44089012517385,627.0,3595,0.0,0.0,0.0,0.803710961724506,0.16689847009735745,6.0,51.705405204276545,10.737134909596662,386.0,5.625976732071542,1.1682892906815021,42.0,2.5306851149297027,0.5841446453407511,21.0,2.009277404311265,0.4172461752433936,15.0,14.60074913799519,3.031988873435327,109.0,1467,81210,30270,151620
He Guan,1.7337651460159695,0.3590944574551132,23.0,2.864481545591602,0.5932864949258392,38.0,1298.9500000000003,10.85487743592607,2.2482435597189694,144.0,1193.9333333333334,0.06928673159090033,0.0156128024980484,1.0,0.06928673159090033,0.0156128024980484,1.0,0.06928673159090033,0.0156128024980484,1.0,40.63713581022129,9.157014062049953,586.5067506742995,44.13564802340351,9.94535519125683,637.0,2.035289519236138,0.4215456674473068,27.0,0.6928673159090033,0.156128024980484,10.0,0.06928673159090033,0.0156128024980484,1.0,1.2814785861857165,0.2654176424668228,17.0,0.27714692636360133,0.0624512099921936,4.0,0.06928673159090033,0.0156128024980484,1.0,0.13857346318180067,0.0312256049960968,2.0,57.646560683629076,12.989851678376269,832.0,6405,0.0,0.0,0.0,0.20786019477270098,0.046838407494145196,3.0,48.777859039993835,10.991412958626073,704.0,3.533623311135917,0.7962529274004685,51.0,1.0553353062705901,0.2185792349726776,14.0,0.27714692636360133,0.0624512099921936,4.0,8.660841448862541,1.9516003122560501,125.0,2587,151305,54486,245187
Jin Yangyang,3.777355850904367,0.7460035523978685,21.0,4.856600379734186,0.9591474245115453,27.0,569.0666666666666,7.374837613670431,1.4564831261101243,41.0,500.35,0.0,0.0,0.0,0.47446110590440493,0.10657193605683836,3.0,0.31630740393626994,0.07104795737122557,2.0,49.781098020358705,11.181671013795984,314.76403903835694,48.553186504217436,10.905861456483127,307.0,2.1584890576596383,0.42628774422735344,12.0,0.0,0.0,0.0,0.15815370196813497,0.035523978685612786,1.0,4.3169781153192766,0.8525754884547069,24.0,0.15815370196813497,0.035523978685612786,1.0,0.0,0.0,0.0,0.15815370196813497,0.035523978685612786,1.0,62.47071227741331,14.031971580817052,395.0,2815,0.0,0.0,0.0,0.47446110590440493,0.10657193605683836,3.0,51.24179943767572,11.509769094138543,324.0,3.004920337394564,0.6749555950266429,19.0,2.3383631457979415,0.4618117229129663,13.0,0.15815370196813497,0.035523978685612786,1.0,11.228912839737584,2.522202486678508,71.0,1104,74562,26234,197353
