match_id,team_id,player_id,player_name,minute,x,y,goalMouthY,goalMouthZ,shot_type,is_big_chance,is_from_corner,is_open_play,is_counter,is_set_piece,is_freekick,is_penalty,is_on_target,is_blocked,is_goal
2017-12-16/Chelsea-Southampton,15,84008,Marcos Alonso,75,93.5,59.8,58.8,20.8,2,0,0,1,0,0,0,0,0,0,0
2017-12-16/Chelsea-Southampton,18,82102,Charlie Austin,75,91.7,65.7,51.1,3.2,1,1,0,1,0,0,0,0,1,0,0
2017-12-16/Chelsea-Southampton,18,141172,Wesley Hoedt,76,90.6,56.7,,,1,0,1,0,0,1,0,0,0,1,0
2017-12-16/Chelsea-Southampton,15,8040,Cesc Fàbregas,77,99.4,59.6,35.3,1.4,1,0,0,0,0,1,0,0,0,0,0
2017-12-16/Chelsea-Southampton,15,91213,Álvaro Morata,79,79.5,56.6,,,1,0,0,1,0,0,0,0,0,1,0
2017-12-16/Chelsea-Southampton,18,82102,Charlie Austin,84,93.2,39.2,42.2,11.1,1,0,0,1,0,0,0,0,0,0,0
2017-12-16/Chelsea-Southampton,15,84008,Marcos Alonso,87,87.6,56.1,,,1,0,0,0,0,1,0,0,0,1,0
2017-12-16/Chelsea-Southampton,15,135211,Tiemoué Bakayoko,90,90.7,46.2,49.8,29.7,2,0,1,0,0,1,0,0,1,0,0
2017-12-16/Chelsea-Southampton,15,8040,Cesc Fàbregas,91,75.5,44.3,,,1,0,0,1,0,0,0,0,0,1,0
2017-12-16/Chelsea-Southampton,15,8040,Cesc Fàbregas,92,87.5,59.4,51.6,17.7,1,0,0,1,0,0,0,0,1,0,0
2017-12-16/Chelsea-Southampton,15,25931,César Azpilicueta,94,76.7,52.2,64.0,2.8,1,0,0,0,0,1,0,0,0,0,0
2017-12-16/Stoke-West Ham,29,122980,Arthur Masuaku,3,76.5,62.7,60.3,41.7,1,0,0,1,0,0,0,0,0,0,0
2017-12-16/Stoke-West Ham,29,69517,Michail Antonio,8,77.2,76.1,50.3,5.7,1,0,0,1,0,0,0,0,1,0,0
2017-12-16/Stoke-West Ham,96,76304,Xherdan Shaqiri,11,82.2,30.4,40.8,4.2,1,0,0,1,0,0,0,0,0,0,0
2017-12-16/Stoke-West Ham,96,29798,Ryan Shawcross,16,90.7,55.9,44.8,13.9,2,0,0,0,0,1,0,0,0,0,0
2017-12-16/Stoke-West Ham,29,8247,Mark Noble,18,88.5,50.0,47.4,1.9,1,1,0,0,0,0,0,1,1,0,1
2017-12-16/Stoke-West Ham,96,23444,Joe Allen,20,74.1,63.1,,,1,0,0,1,0,0,0,0,0,1,0
2017-12-16/Stoke-West Ham,96,29798,Ryan Shawcross,37,91.9,50.9,27.1,8.3,2,0,0,1,0,0,0,0,0,0,0
2017-12-16/Stoke-West Ham,29,34693,Marko Arnautovic,37,92.7,35.3,50.6,0.6,1,1,0,1,0,0,0,0,1,0,0
2017-12-16/Stoke-West Ham,96,76304,Xherdan Shaqiri,39,81.3,61.8,,,1,0,0,1,0,0,0,0,0,1,0
2017-12-16/Stoke-West Ham,29,89998,Manuel Lanzini,40,71.5,60.9,47.5,5.7,1,0,0,1,0,0,0,0,1,0,0
2017-12-16/Stoke-West Ham,29,34693,Marko Arnautovic,45,89.3,59.2,58.2,36.1,1,0,0,1,0,0,0,0,0,0,0
2017-12-16/Stoke-West Ham,96,76304,Xherdan Shaqiri,45,76.3,37.7,56.3,11.1,1,0,0,1,0,0,0,0,0,0,0
2017-12-16/Stoke-West Ham,96,260289,Ramadan Sobhi,45,81.9,71.3,,,1,0,0,0,0,1,0,0,0,1,0
