,total_corner,home_corner_ma,home_tt_coner_ma,away_corner_ma,away_total_corner_ma,home_wide_pass,home_cross,away_wide_pass,away_cross
275,10.0,6.8,10.4,5.6,12.4,21.4,26.8,12.6,13.6
276,12.0,5.8,8.0,5.0,11.2,27.4,23.0,16.4,19.0
277,10.0,6.0,12.2,4.4,11.2,14.6,17.0,11.2,18.2
278,15.0,5.6,12.0,5.8,8.4,15.2,18.4,27.4,16.0
279,12.0,2.6,9.6,4.8,11.8,11.8,15.2,15.0,20.4
280,11.0,6.2,10.0,4.6,10.8,13.8,21.0,13.6,14.2
281,16.0,5.6,11.4,5.8,8.8,15.4,15.2,24.6,22.0
282,7.0,5.0,9.8,4.4,10.4,11.6,21.8,12.4,15.6
283,11.0,5.2,10.0,6.0,9.8,10.6,13.2,20.4,24.6
284,16.0,4.6,8.6,6.2,8.8,13.6,18.0,31.2,22.8
285,9.0,6.2,8.8,5.0,10.6,31.2,18.2,15.2,15.4
286,7.0,4.6,11.2,4.0,7.2,15.2,19.8,15.0,16.6
287,13.0,4.4,10.6,1.8,8.4,11.2,17.8,10.6,14.8
288,8.0,6.0,11.8,6.2,12.2,17.2,20.6,20.4,15.2
289,8.0,3.2,8.8,4.2,12.4,11.8,13.0,12.4,14.0
290,20.0,5.6,11.6,6.4,10.4,14.0,14.2,13.4,19.2
291,6.0,4.2,8.0,3.6,9.8,11.0,20.6,13.4,13.4
292,7.0,4.0,8.8,5.0,10.6,13.8,13.8,13.0,21.0
293,17.0,6.4,9.4,1.8,9.4,28.0,23.4,11.6,12.0
294,9.0,5.8,11.4,6.8,9.2,12.4,18.2,30.6,20.6
295,10.0,5.0,9.4,6.4,10.6,16.8,23.0,24.6,23.4
296,6.0,4.2,10.2,5.4,11.4,16.8,18.6,17.8,16.6
297,8.0,6.4,13.0,4.4,10.2,13.8,15.6,19.0,22.4
298,11.0,7.8,12.8,6.8,10.8,14.8,21.0,11.6,15.6
299,7.0,3.8,8.2,3.6,9.0,14.2,16.4,10.8,12.6
300,10.0,6.8,11.2,4.2,11.4,24.0,16.8,13.6,14.6
301,9.0,5.6,10.2,2.4,7.0,20.4,23.0,13.8,13.0
302,8.0,7.6,10.2,4.6,11.6,27.2,23.0,14.6,15.4
