,position,rating
113,DC,8.06831504643392
114,DC,6.681153519955664
115,DC,6.546285534747442
116,DC,-0.9629007112403579
117,DC,7.022869014318681
118,DC,6.4817047700994
119,DC,7.482634693025503
120,DC,1.3232999958072278
121,DC,6.503496074686742
122,DC,2.998804370864606
123,DC,6.676612521739163
124,DC,6.687322470455854
125,DC,5.179256301429611
126,DC,6.055008188072783
127,DC,6.231425602537787
128,DC,5.231276943349516
129,DC,3.582634851182629
130,DC,3.571727952527651
131,DC,3.1568392012889803
132,DC,4.597057187348072
133,DC,7.01583565106952
134,DC,6.698384423217194
135,DC,6.279032704999419
136,DC,6.326788039501425
137,DC,6.7651644677317835
138,DC,6.4187535832700835
139,DC,5.142882397516752
140,DC,4.752720075107268
141,DC,3.82718353287742
142,DC,5.250283124678306
143,DC,0.8770706152665653
144,DC,7.324469021873485
145,DC,4.209412190191112
146,DC,3.111209688002146
147,DC,3.795768578882295
148,DC,3.6123158638877633
149,DC,4.354697141201458
150,DC,3.5669389411184134
151,DC,5.388324701653251
152,DC,6.134320976090142
153,DC,2.8590896040523743
154,DC,7.055461139051403
155,DC,7.787823625605574
156,DC,5.272967765650003
157,DC,2.5701794565037366
158,DC,6.070494316286675
159,DC,2.200823558852632
160,DC,3.579326215746048
161,DC,6.820305102459001
162,DC,8.706477070797206
163,DC,5.032382647515737
164,DC,5.710465278376903
165,DC,6.96647842887929
166,DC,6.29797659122537
167,DC,6.157757979267775
168,DC,4.567022605474132
169,DC,5.6679419331916305
170,DC,6.9748846724588685
171,DC,4.38100494839496
172,DC,5.462239281878627
173,DC,4.074800323020269
174,DC,4.671884106033182
175,DC,5.889049064506047
176,DC,5.459320426666513
177,DC,6.100294846450785
178,DC,5.894937819373133
179,DC,3.770894332378101
180,DC,4.772569308196027
181,DC,6.161094106030493
182,DC,4.300801292586845
183,DC,2.400672289489914
184,DC,5.0031635981502465
185,DC,7.066429157760872
186,DC,6.343390613430219
187,DC,1.2443391368009185
188,DC,5.281707007088616
189,DC,5.494081099988945
190,DC,3.95683920128898
191,DC,4.117174928124979
192,DC,6.89598856665341
193,DC,7.024402569472963
194,DC,-1.6364959223914362
195,DC,6.659318706386452
196,DC,4.311180703276025
197,DC,7.261310043809715
198,DC,5.226796950285143
199,DC,5.718276949289683
200,DC,4.107713713007453
201,DC,7.311415203908325
202,DC,5.974053528947153
203,DC,4.570248659353405
204,DC,3.0769387040831626
205,DC,6.105274392624397
206,DC,6.824490023070354
207,DC,1.1517583116847028
208,DC,7.474559862365586
209,DC,3.329615629036622
210,DC,4.620682829771192
211,DC,5.552529706415051
212,DC,-0.21199236724509324
213,DC,4.3157695996337635
214,DC,6.381943254476757
215,DC,2.306598099356658
216,DC,4.199425158978777
217,DC,3.559064872042086
218,DC,4.806235826366285
219,DC,5.410050945016751
220,DC,3.903535310794125
221,DC,4.493268674137977
222,DC,4.640185985053622
223,DC,1.335802070517414
224,DC,6.9577579792677735
225,DC,6.916745537250011
226,DC,7.719397648707025
227,DC,6.451157259350454
228,DC,6.843673571169589
229,DC,3.9046665539699914
230,DC,6.873586432879482
231,DC,4.122538933702363
232,DC,4.612770726033508
233,DC,6.664299841633695
234,DC,7.0993817433998485
235,DC,5.280297641358667
236,DC,4.275514559482799
237,DC,6.150795932338816
238,DC,6.204376795710314
239,DC,6.367687900316668
240,DC,1.6567621041826992
241,DC,3.5033606558641717
242,DC,4.409972490706638
243,DC,4.3961666693831045
244,DC,5.959805988134544
245,DC,0.5584214830319869
246,DC,4.594285141632227
247,DC,6.688441761536683
248,DC,7.7786968213777765
249,DC,4.411699178870341
250,DC,4.62710911895163
251,DC,5.622268674523927
252,DC,3.4265069449153636
253,DC,4.566927805414307
254,DC,5.136593980610679
255,DC,4.28512500602982
256,DC,8.034285946176809
257,DC,5.111379604548966
258,DC,5.202560778256566
259,DC,3.5110243624014443
260,DC,5.890767579837422
261,DC,3.716929720746279
262,DC,7.3040578121695745
263,DC,7.575749365724375
264,DC,3.0889822675748206
265,DC,4.963772711455624
266,DC,4.092182344312623
267,DC,-2.023166378541209
268,DC,5.872641888636906
269,DC,5.147804507233313
270,DC,3.7579163044730555
271,DC,6.9431356616120485
272,DC,7.82397131473721
